# WARNING: This file was AI-generated by Gemini and has NOT been verified against primary sources.
# Values are unreliable estimates — do not cite or use as a primary source.
# For verified 2006-2012 CNE net-support-cost figures see timeline_data.json (pv_subsidy_note).
# See also: gemini_solar_subsidies_investment.md for known errors vs REE/CNE authoritative data.
Year,Feed-in Tariffs / System Premiums (€m),EU & Capital Grants (€m),Total Annual Payout (€m),Policy Context & Regulatory Regime
2006,120,15,135,Early Royal Decree 436/2004 framework
2007,194,20,214,Introduction of highly generous RD 661/2007
2008,990,25,"1,015",Massive solar bubble explosion; capacity caps exceeded
2009,"2,600",30,"2,630",Emergency caps introduced under RD 1578/2008
2010,"2,750",25,"2,775",First retroactive cuts to operating hours (RD 14/2010)
2011,"2,980",20,"3,000",Tariff deficit continues to climb heavily
2012,"3,200",15,"3,215",Moratorium on new renewable applications (RDL 1/2012)
2013,"3,450",10,"3,460",Transition period to dismantle Feed-in Tariffs
2014,"2,600",5,"2,605",RD 413/2014 replaces tariffs with 'Reasonable Return' (7.4%)
2015,"2,520",5,"2,525",Introduction of the restrictive 'Sun Tax' (RD 900/2015)
2016,"2,490",8,"2,498",Stagnation of domestic deployment
2017,"2,450",12,"2,462",First large-scale auctions under new economic regime
2018,"2,400",18,"2,418",Repeal of the Sun Tax in late October
2019,"2,350",35,"2,385",Grid connection boom for 2017 utility auction wins
2020,"2,280",50,"2,330",New REER auction framework established
2021,"2,100",250,"2,350",NextGenerationEU funds deploy via PRTR for self-consumption
2022,"1,950",450,"2,400",Peak PRTR grant spending on residential/industrial rooftop solar
2023,"1,850",400,"2,250",Extension of regional PRTR budget programs
2024,"1,780",300,"2,080",Phasing down of explicit PRTR capital grants
2025,"1,700",150,"1,850",Transitioning completely to merchant and REER pricing models
Total,"42,754","1,843","44,597",
