# METADATA & METHODOLOGY:
# Public Subsidies Source: CNMC Renewable Settlement Databases & MITECO/IDAE PRTR Tracker (RD 477/2021).
# Private Investment Source: UNEF Annual Capacity Metrics, Red Eléctrica (REE) & BloombergNEF Southern Europe CAPEX Benchmarks.
# Formula Used: Total Private Investment (EURm) = (Capacity Added * Avg CAPEX) / 1000
Year,Feed-in Tariffs / System Premiums (EURm),EU & Capital Grants (EURm),Total Annual Government Payout (EURm),Annual Capacity Added (MW),Estimated Avg CAPEX (EUR/kW),Total Private Capital Investment (EURm)
2006,120,15,135,60,6200,372
2007,194,20,214,480,5800,2784
2008,990,25,1015,3200,5400,17280
2009,2600,30,2630,60,4200,252
2010,2750,25,2775,370,3500,1295
2011,2980,20,3000,420,2800,1176
2012,3200,15,3215,280,2100,588
2013,3450,10,3460,120,1800,216
2014,2600,5,2605,30,1500,45
2015,2520,5,2525,50,1300,65
2016,2490,8,2498,60,1200,72
2017,2450,12,2462,140,1100,154
2018,2400,18,2418,270,980,265
2019,2350,35,2385,4700,850,3995
2020,2280,50,2330,3400,800,2720
2021,2100,250,2350,4900,780,3822
2022,1950,450,2400,8400,850,7140
2023,1850,400,2250,7100,820,5822
2024,1780,300,2080,6200,750,4650
2025,1700,150,1850,5500,700,3850
